PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,08/30/2024,1:42:15 PM,,,,,,,Eliana Gottlieb,gottlel10,Left,Oregon state,,,,,,,,,,,,,,,,58.244558797323634,6.287732725972831,1.175816756899165,283.4153696695963,278.5819124368827,3:15,2.520326174212784,-0.4511795014996648,5.999999999999997,-35.520706626871515,1.0008209379834625,2.9529969834746868,3.373948505686389,-0.1141770214148618,53.71486157004827,-4.690308233708797,0.4976421436186891,0.4361481269641838,63.72201655708011,26.48913463002383,33.40322778956833,805.482785981277,67.29786286795867,87.01147997806142,26.74307187894822,175.96766612025198,,40.61774509986399,2.6225253886606827,-3.1609894257731166,-1.2258320121914403,0.6873829424720821,49.99999999999999,0.7289634613159329,-1.3841736226869517,-87.18567806240557,14.356120049024954,-2.3710332615121192,15.169937193169906,-33.09353651950069,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,e2d13db0-5a19-43cb-9196-9568a4254729,58.32769332389626,2.5163508991778265,-0.4491933062714932,6.359947669135493,1.1389299723520945,53.77019843113939,3.377687336782126,-0.1158115068384909,-4.6097550447720925,0.4625402687438871,0.4360544949819444,3.195013308645683,-0.4487073625066881,-56.810329460256256,,155.1450743041866,-237.1798424910986,54.74123527071014,0.0816866218616569,-0.8368630211113859,-0.5412832712223375,31.397927218641385,47.61161942317111,28.421809519747423,-0.422219382596791,1.312621012489909,3.2765651666382896,114.55659423248947,133.5717269397279,21.980015150263167,-8.608805175226214,0.1178997906559313,0.4159641055638255,0.1378541729907084,-0.8988715647252027,,,1.0,0.0,1.0,35.257591410151484,high,high,,,37.00000137600001,,,,2022-11
2,08/30/2024,1:42:19 PM,,,,,,,Maddie Furniss,,Right,Georgia tech,,,,,,,,,,,,,,,,58.06819419247668,5.1989784855452825,-0.4000440724664779,249.6240776909722,219.6480873018417,1:15,2.506452374147448,-0.304773486056542,5.999999999999997,-35.647943128320016,1.9827743091974528,0.4698456827699327,2.7840744567595186,-0.3647649542243386,52.976846917456434,-5.416594756081874,-0.3477375959338322,0.4415122640018543,54.36262820499851,-3.895812917922932,54.39263628081189,,,,,23.186498947244324,,50.89037752236109,0.2900435139280801,-0.7166791137426987,0.727470655507683,-0.0070470297037419,50.00000000000004,1.5526623178533254,0.7813291820026028,-86.08535511067228,11.47708442966858,-0.5245673209958602,14.691351514400482,-31.64158348569758,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,64189424-d1be-4586-9eb4-1547859a6b42,58.15430523902493,2.5026053340395777,-0.3059228122673256,5.268164005460595,-0.3788928540739291,53.0346975374913,2.78783043064949,-0.3638218256772244,-5.33592451858093,-0.3275335191428056,0.4414153417248633,0.3255305885860843,0.5025471475243354,82.11528090665912,,34.24352020622293,247.26415325913,13.718035745179789,-0.1056258563299855,0.9905460865246992,-0.0875307314327962,44.096095652724415,31.5782766494955,-3.6935264163946417,0.123306267527958,1.5343893544539198,2.8171804828498765,17.99134307528192,14.626185687938852,,,,,,,,,1.0,0.0,,26.348099688961884,high,high,,,37.00000137600001,,,,2022-11
3,08/30/2024,1:42:24 PM,,,,,,,Maddie Furniss,,Right,Georgia tech,,,,,,,,,,,,,,,,57.27745239607344,4.02028816293374,-1.0438015341791786,338.9287001291912,345.1424938603621,5:30,2.474963257298377,-0.2964343750571889,5.999999999999997,-43.05339911261895,-4.369470930880006,1.618812614736726,1.6448769406254444,-0.7547621585487517,52.51604000024368,-8.116657105264407,-0.5212964065873925,0.4419922451765116,,,,,,,,,,,,-2.2356070068219736,-6.593364533364543,0.0436125586136474,49.99999999999996,1.1399518018498067,1.7765365861204854,-86.05807791906749,11.552162997980588,-1.6329069424541272,14.84020014164872,-36.98990080126645,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,cc6c51be-5aad-4a1d-b46d-5cb5094a5e09,57.325431903101865,2.469293958464929,-0.2964372909907724,4.125426173743175,-1.043736018246339,52.5323943317752,1.6498879425764,-0.7547613465108798,-8.009321845415814,-0.5212849750087327,0.4419419103855881,1.6169234439662243,-6.12099097872369,13.937817140362698,,328.9498634026739,81.63731462159562,97.05577110385944,0.9381085873334574,0.2408686977245583,-0.2488665281384794,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11
4,08/30/2024,1:42:28 PM,,,,,,,Maddie Furniss,,Right,Georgia tech,,,,,,,,,,,,,,,,54.34867265812157,4.763565735686084,1.581329947616002,271.9167053222656,341.63120779307064,5:30,2.4894668181198805,-0.304390203844252,5.999999999999997,-44.486223228916494,-3.461035439769695,1.7392674344504042,1.9385397481069224,0.6577867436810896,51.00764258984392,-7.768319607133002,2.8133611947097616,0.4664179406035652,55.00711564221381,39.09819038284461,-35.523347771708664,,-63.35090469084355,89.92587433452677,31.66176680570084,154.869284017436,,-35.268039686416515,2.974318540323052,-1.4846813009141824,-5.839819627993344,0.645760080662411,49.99999999999999,0.9505993653173652,-2.034815549810218,-81.56337948637687,12.435070661890776,-0.973832805399574,13.357757705363593,-36.004506619340766,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,4fe22e81-a506-487f-aba6-ece118671c59,54.39768332932657,2.4835814876715507,-0.3042361541819723,4.873017853062833,1.5784355646390194,51.02716706027515,1.9436461694120528,0.6576611233679501,-7.659482485105897,2.81064491249532,0.466362740262574,1.7567581585058576,-5.285832706480481,8.00525243432563,,269.2669602603923,37.86817589274869,99.02553060918676,0.9397996179046249,0.1392638817385961,-0.3120612911423319,-24.803887276422543,34.743811280944016,34.69030880416827,-0.6697175874665484,2.233129816951783,2.088011362489003,-89.42187809492331,126.4445445642078,,,,,,,,,1.0,0.0,,28.350957102830236,high,high,,,37.00000137600001,,,,2022-11
5,08/30/2024,1:42:46 PM,,,,,,,Maddie Furniss,,Right,Georgia tech,,,,,,,,,,,,,,,,59.21388689344062,6.240553766930175,-0.8664848323016101,210.88813291277208,17.14202542221124,6:30,2.466525150315791,-0.3750268628888737,5.999999999999997,-37.52913272665111,-2.197615744843688,-1.1139603535030986,2.9825354097728454,-0.5010263211562973,54.67049630065812,-5.376372838061863,0.4626544601623478,0.4288008453773276,,,,,,,,,,,,1.0536365259146383,-4.894061365978727,0.190041462562843,50.00000000000002,0.6664134114325514,1.1840562827454142,-88.63700839982201,14.786141797676128,0.8176010626406971,15.574525537799447,-35.97174421316706,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,285658ed-87c7-42d7-9153-c4f2d01836cf,59.283416696657184,2.4617818684196124,-0.3758199980623078,6.327908699751015,-0.8516009429060354,54.71039526223581,2.9867637009234955,-0.5003581086565405,-5.284569864420846,0.4772024952255067,0.4287297251051999,-1.21664652511045,-3.706212770083372,26.685093324441315,,188.42607004461684,94.70702577410069,89.34882557974656,0.8537969024467695,0.4490865581956361,0.2633478927584177,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11
6,08/30/2024,1:42:51 PM,,,,,,,Maddie Furniss,,Right,Georgia tech,,,,,,,,,,,,,,,,55.61588223579991,5.081769897745318,3.355328169016072,346.0297571818034,290.01307785397216,3:45,2.492401031260518,-0.3968260867233703,5.999999999999997,-37.13990751105823,1.1132123690367235,1.6876032143494262,2.060780891406346,0.2441268948052722,52.735790834231935,-7.244642037935358,1.3944508063481813,0.4565449567976808,,,,,,,,,,,,-0.5803370686838255,-0.1591440024483945,1.143851275975155,49.99999999999997,0.946183030242534,-4.692541307005241,-83.30579207468338,12.330344659986393,-0.3972864523000717,13.885084749058471,-32.28299619573656,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,509e79ef-ac84-4b1e-93af-a518dd5d3ac4,55.69491881931095,2.488030711637395,-0.3981835364509135,5.161567312441088,3.380652069326247,52.78433145158524,2.0648228004004614,0.2451090600935856,-7.158411584517596,1.4154745762605092,0.4564489475029151,1.534658626467354,-0.4358207632645764,75.7988736297833,,84.89024588401712,335.4552712494602,24.53264325455569,0.0839591986068012,0.9694405301484308,-0.2305122805293318,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11
7,08/30/2024,1:42:58 PM,,,,,,,Maddie Furniss,,Right,Georgia tech,,,,,,,,,,,,,,,,55.58223294972206,6.483659074786587,1.0315977865363437,187.09776306152344,323.97205576301894,4:45,2.48533269742787,-0.4597746788346442,5.999999999999997,-39.06038305249758,-0.920961409519542,1.79072005514108,2.873896205633535,-0.7720429185234342,52.68549172885152,-6.142425370059112,-0.1053559969161809,0.4571132944243634,63.157174569332426,2.0618434833934813,15.071113825499417,,,,,49.02246723643022,,15.71706804743266,0.5421291575253258,-1.6939675242533367,-3.298440853589187,0.6762465555579903,50.00000000000002,0.5954467798564115,-1.2750794790273872,-83.16388658833061,14.658148510608209,-1.156719385252029,13.749400589060569,-34.42637758038442,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,45523550-2a8f-474a-860e-2f382a1d1942,55.65374765183174,2.4803230270851158,-0.4601365060120898,6.575077646017247,1.038360905050996,52.726708771436485,2.8782587625395237,-0.7718327311968645,-6.048573044248914,-0.1008373049702745,0.4570310578128112,1.7552418985423477,-2.5115104237572194,41.125572269725005,,140.935115724194,123.0563533444495,75.32699131087432,0.6091921456847613,0.6577115157917993,-0.4430581131531733,16.411352786147834,60.94532745711725,2.2722808925127134,0.8456109523065545,1.29767328097284,2.8587867597678405,13.2795595583124,47.18957079571828,,,,,,,,,1.0,0.0,,36.177427860489686,high,high,,,37.00000137600001,,,,2022-11
8,08/30/2024,1:43:03 PM,,,,,,,Ella Edgmon,edgmoel10,,Georgia tech,,,,,,,,,,,,,,,,54.498553596919294,5.290690701095756,0.8279049700179086,293.518563406808,265.1006306928267,2:45,2.491512644641564,-0.273045970896498,5.999999999999997,-39.6462922566004,2.152047598051197,5.749202587104402,2.336611306620566,0.4224242936131754,50.42029493426825,-6.8522096225795215,2.209178388678731,0.4653192708059604,58.38160884583108,-23.648137603378917,-55.583663800847816,,91.79908053824366,-60.60469297618385,23.75603923414432,7.514876953809694,,-41.02471044263496,0.0675496357930432,-6.502647493728694,1.0299243240028906,0.5097465722205905,49.99999999999995,1.683025809661553,-0.1455110535122016,-81.72495626212458,10.90928739148656,-4.285222772630636,13.34049963994471,-31.495332929198312,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,dac68a4c-1278-4b3a-8952-decfe643259a,54.57595190685351,2.487228265780351,-0.2713026921189472,5.368885338489631,0.7954532541810633,50.466916578484025,2.3406345975037666,0.42096459282533,-6.76525046215396,2.177450407068109,0.4652237744755945,5.966950846549498,0.4812298231339891,-7.378300951823949,,291.0881911228606,-37.69366065026551,99.1719868563887,-0.084698783156972,-0.1284200229544705,-0.988096358578505,-44.11768983864627,30.22649254491185,-23.41795984198917,-0.4448365169481971,2.694324483409736,2.454560106033123,-4.932648436603648,5.669422812930047,,,,,,,,,1.0,0.0,,29.527718166409155,high,high,,,37.00000137600001,,,,2022-11
9,08/30/2024,1:43:11 PM,,,,,,,Ella Edgmon,edgmoel10,,Georgia tech,,,,,,,,,,,,,,,,59.81005890690757,5.692196667798913,-2.734626891928458,245.35070451100663,301.417823515504,4:00,2.485348814258496,-0.236496733927331,5.999999999999997,-37.49706919703056,-1.0039335181942803,4.033462193257344,2.760118710339521,-0.8163374618204371,53.837166119881935,-5.81611912966809,-0.3121494658298759,0.4347875636372876,49.17779346531015,26.11108349105196,36.373490959637806,2584.501330145474,74.43521922474154,80.99011133396189,9.340254241913463,126.36092694649028,,43.345166697401794,2.2855546340365427,-5.215092388589815,-2.7978650971019943,-0.1088536562313569,50.00000000000004,1.568536178440965,2.732475425524538,-87.40655740211898,12.072057961560908,-3.936087488267028,15.120884587575954,-34.2857363945898,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,7823aeb8-1d72-4cce-98ce-6f208b181f49,59.88388106701755,2.4810196339361896,-0.2351851266777325,5.771477370902693,-2.759076336028312,53.87881846028304,2.7642332319822662,-0.8174589799231522,-5.727243790095447,-0.3364567700120917,0.4347140078165771,4.201028681865962,-2.5168866062443107,-12.079556333944849,,239.91814135290628,-51.344460789983785,97.78579679690438,0.5097330377915681,-0.2092696692773524,-0.834492921302708,26.188235354620343,35.55528757684569,21.64378027183598,1.3628416893846158,1.0802818815220512,2.959728749575808,86.73311023218828,91.8936964553463,19.418728003203903,0.8415974464156494,0.2641446768354312,0.683985404926874,-0.0964768807222981,-0.7230879457805361,,,1.0,0.0,1.0,23.01761293091487,high,high,,,37.00000137600001,,,,2022-11
10,08/30/2024,1:43:45 PM,,,,,,,Ella Edgmon,edgmoel10,,Georgia tech,,,,,,,,,,,,,,,,60.80389661676608,5.988058274809641,0.1012642350118417,209.3559703826905,272.50227148921283,3:00,2.465346497995825,-0.2141686593834329,5.999999999999997,-33.76274406298601,1.1865453210607484,4.092005797156059,3.3683181969704377,0.5249575396568158,54.91469833235109,-4.233706288239604,2.760859422952169,0.4174360266921229,,,,,,,,,,,,-4.700851256464097,-0.8136957605494797,0.1965832003251262,49.99999999999997,0.776408827843832,0.3999411975048834,-91.08272272586588,14.052803821838284,-3.849231099386617,16.5281724644284,-32.840333809020066,,,,,,81062ec8-70f8-4475-a69d-123b2324bb75,f993275d-3315-43f9-be89-683c350da1f8,60.889824895100936,2.4617666542955083,-0.2129131441666353,6.053458366273023,0.0778436081681399,54.97245009829085,3.371855033377423,0.5238587002052715,-4.156748027356334,2.737021489107239,0.4173459447329145,4.252192028694093,-0.2291477467601197,-13.689330920380506,,203.4088381270504,-49.54560431240479,97.15932044127088,0.0424187824293994,-0.2366572313263306,-0.9706667820411714,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11
