PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,09/15/2024,12:57:23 PM,1,1,Kinsey Norton,nortoki10,,Georgia tech,Gracyn Tucker,tuckegr10,,Georgia tech,,1,Top,1,2,2,,,BallCalled,,,,,,,61.427466329136266,8.078308353325713,-2.7678419205452824,1142.342136158663,88.01330254774156,9:00,1.479639153632084,1.1054733448037883,5.999999999999997,-31.551455816983093,1.831188958605047,-5.078029444777023,3.9067646744474662,-1.0379923175064187,56.09106593547666,-0.6876497651009945,-4.1838902887637195,0.41584539161636236,,,,,,,,,,,,4.937078274740402,-0.7822250457543491,-1.683266114676714,49.99999999999998,-0.6826814532037956,3.7209533308495275,-91.53713182891116,17.384530607952343,4.074118184494056,16.962563671771015,-32.819548220198186,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,24e97a19-1292-4da6-8471-b68285e516ea,61.52932665130134,1.4753009424449468,1.1064915887608484,8.152298595587478,-2.7859968898692307,56.15997117098696,3.9103175588967476,-1.038639656589609,-0.6098175016665717,-4.1977763993662585,0.415753157340073,-4.96239719819075,0.4141155125110611,-61.69888546865834,,541.5904928376609,-1005.79585111065,47.41053277250713,0.016436029352978013,-0.8804681358361033,0.4738203443462568,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
2,09/15/2024,12:57:48 PM,1,2,Kinsey Norton,nortoki10,,Georgia tech,Gracyn Tucker,tuckegr10,,Georgia tech,,1,Top,1,3,2,,,Foul,,,,,,,56.16702350411436,5.180907988596024,-1.7374791615305345,996.4749217313878,12.830022929869154,6:30,1.5620969625049959,1.0116587292790513,6.608813943059969,-43.4694357781318,-5.91011301296701,-1.4066375460032379,1.1770612790171155,-0.06732390242715157,52.38441649701489,-7.685597571240673,-1.7510626775359321,0.44360008316351696,,,,,,,,,,,,1.223240788249068,-9.149936375055477,-1.4071940031424748,50.0,-0.17171412482535425,2.347112411699781,-84.33640188961519,13.75354195739419,0.8580587179952424,14.254210938844622,-38.592395631308236,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,a81275ba-61c3-4645-ada2-f3bcaf03b31c,56.20337311884793,1.5559861811111713,1.0085172368651019,5.297484654044723,-1.6766802629282531,52.3904706251982,1.182347468448555,-0.06472911169663956,-7.572478829238655,-1.6947082728522436,0.44356531753835754,-1.8093458885315448,-7.654533677955946,50.036617880671066,,640.0337411305561,763.7532846764062,64.22978914697516,0.6262617230297346,0.7664550988893681,0.1426283129477339,,,,,,,,,,,,,,,,,1.0,1,,,high,high,,,36.391187432940036,Caroline Patterson,,Georgia tech,2022-11
3,09/15/2024,12:58:32 PM,1,3,Kinsey Norton,nortoki10,,Georgia tech,Gracyn Tucker,tuckegr10,,Georgia tech,,1,Top,1,3,2,,,Foul,,,,,,,59.0363625151359,5.487265722666033,-1.8648992381112657,1312.7519095284597,115.87443959878001,9:45,1.4682817024650223,1.0995892975033914,5.999999999999997,-30.724154109395265,5.037628127813129,-5.803112458211136,2.6774902279072768,-0.5431116548214264,54.217353815832006,-2.5811338795650878,-3.8807244424049756,0.43009398651917385,,,,,,,,,,,,6.209679815860893,3.7785628913494866,-1.4640664192716901,50.0,-0.08855391399437887,2.091725195497175,-88.50513491577304,12.63560586625763,4.790381775268954,15.858787745307671,-29.25912331795075,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,991ec568-0825-4c8d-b1b9-ade7a17ea2ae,59.13505287828088,1.4647976163469878,1.100308744377554,5.545764851223134,-1.8775283366762183,54.29097325437687,2.680571657796514,-0.5435622482896502,-2.5140686769230016,-3.8902875970578834,0.4299819228554523,-5.717491688433196,3.6211647719049886,-58.58004786500841,,684.3465297172837,-1120.2622028947187,52.130682480827694,-0.2274985279051914,-0.8533693188815218,0.4690471462365573,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
4,09/15/2024,12:58:56 PM,1,4,Kinsey Norton,nortoki10,,Georgia tech,Gracyn Tucker,tuckegr10,,Georgia tech,,1,Top,1,3,2,,,BallCalled,Walk,,Walk,0,0,,55.87169684346685,4.050438130368407,1.3272602272472502,841.1683306012839,10.77082930420527,6:15,1.4239324340122728,0.7568046316539957,5.999999999999997,-46.24091760643103,-7.127674588705979,-1.400154397749899,0.43982346422055013,0.6039661965096326,52.286245859950434,-8.714607125688314,-0.3116604903172543,0.45335480883753604,,,,,,,,,,,,2.1146150781736965,-9.70103276011979,-0.44159040183046183,49.99999999999994,0.036417473138435213,-2.1237628425415136,-83.95452805202646,11.894443315960606,1.4681742642847557,14.247684440518677,-38.90946293966439,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,166cedb4-e2a6-4850-af4f-85ce195b4c0c,55.90086040573878,1.4165132444030484,0.7539318705206742,4.180648394730065,1.3782371001697218,52.28280547153107,0.445430675813243,0.6060142210951442,-8.595344412429288,-0.26720717872922595,0.45333155243427703,-1.7293023446363984,-9.030402763121126,35.86381033308595,,681.6927789645288,492.80738175697917,81.04118452453402,0.7961344339057134,0.5858605986803029,0.15145072486979497,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
5,09/15/2024,12:59:23 PM,2,1,Kinsey Norton,nortoki10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,1,0,0,,,BallCalled,,,,,,,64.43165279419519,3.9509839618848015,-1.1290101410495699,872.1955474853515,359.28012543870835,6:00,1.4096221666307083,1.0336940215866877,5.999999999999997,-38.007079241829146,-7.590004351615281,-0.08909774648013392,0.72514338637638,0.8742463781648885,59.09867902383124,-7.351609063827618,-0.3037303371501391,0.3928994394551304,,,,,,,,,,,,-0.4027452106800693,-10.220912178408172,-1.2899100713465934,49.99999999999997,0.13824549993407162,1.9082244945648337,-96.81344603390176,12.175015076138973,-0.3722750347726991,18.787853547933036,-41.6216862945795,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,12e29e82-28c0-4158-a1c1-632a0ad6fd36,64.47574879452883,1.403385878278931,1.0353446518223464,4.061291692557073,-1.1585407926160922,59.110307635539236,0.7300523310096994,0.8730396769689619,-7.246049801268604,-0.3299902584951958,0.39286485896865647,0.10623589554110932,-9.149717574504022,-32.079695018226374,,739.0201726300588,-463.22160733185814,84.73101872174722,0.8472433104753994,-0.5310983398933689,-0.010645478720742983,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
6,09/15/2024,12:59:40 PM,2,2,Kinsey Norton,nortoki10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,1,1,0,,,Foul,,,,,,,63.11068983061625,5.466831581701371,-2.301155897344283,875.9244723849828,4.1614395057365625,6:15,1.394438112978426,1.1096391347866883,5.999999999999997,-38.97015805637778,-7.558930906729447,-0.722184895966517,1.568489609997375,-0.017620210004747366,58.08155862077663,-6.103686317243513,-2.3567566990329873,0.40208504518744437,,,,,,,,,,,,-0.06513202185768853,-10.794448457252459,-1.6256674757369447,49.99999999999998,-0.23897885470304467,3.70766343844741,-94.54117080559156,14.628479615850576,-0.057481407586876705,17.757446469367938,-41.70054782372692,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,cc99a1db-6a47-4f43-82fd-b046eda9497d,63.15625659284878,1.3877403309739325,1.1112214849366706,5.583348848003999,-2.329081354326715,58.09440874828815,1.5736517657585611,-0.01877043627602047,-5.9930044988236695,-2.3815351309921264,0.4020523801218556,-0.5409882277952174,-9.132987906923537,-30.975829109573617,,751.0040629269288,-450.8176779920636,85.73844967273052,0.8551240378444345,-0.5146764272547029,0.06221780395485536,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
7,09/15/2024,1:00:05 PM,2,3,Kinsey Norton,nortoki10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,1,1,1,,,StrikeCalled,,,,,,,59.618747928611405,4.144889957395508,0.0996241366442899,1259.636036839979,107.98755740923764,9:30,1.5110169261101827,1.3555018305545388,5.91875793129846,-30.959581925362478,3.8703425216759157,-6.958684536742017,1.9635158962259445,0.8008160530816301,55.06314870537553,-3.693112014764206,-1.9381162830968806,0.42556540310487,,,,,,,,,,,,8.304132127213618,3.000494969049455,-1.2631374235774637,50.00000000000001,0.26886649643340615,-1.1121588443973722,-89.55231284982918,10.675925831419818,6.571265534245521,16.010923903489697,-29.799683562707006,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,e6937507-5e4b-40c5-9ac4-2794c7351487,59.70889343094804,1.507093399896091,1.3557147610786957,4.210931617304423,0.09580061704065829,55.12937417709678,1.966849858162914,0.8007394233633878,-3.620677575551375,-1.939676326797309,0.42546432053609784,-6.930184041731056,2.489645454336073,-54.496474208961864,,731.5374647792294,-1025.4442368701998,58.07530456292924,-0.17934261033819132,-0.8140797872397404,0.5523679282188482,,,,,,,,,,,,,,,,,1.0,1,,,high,high,,,37.08124344470154,Caroline Patterson,,Georgia tech,2022-11
8,09/15/2024,1:00:25 PM,2,4,Kinsey Norton,nortoki10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,1,1,2,,,Foul,,,,,,,59.27485061822669,6.093677417992764,-0.09395643973229056,1258.761763289168,104.86463862155534,9:30,1.5193805224829553,1.4117575567295737,5.8420676472389115,-31.92307306359708,3.3444345774617616,-6.548329138356646,3.0711366376174793,0.8223594950862433,54.752599968751454,-2.3646876742221803,-1.3408014305118807,0.430381325572324,,,,,,,,,,,,7.668988926334979,1.839964945838728,-1.3685168074438803,50.000000000000014,-0.16383322351152896,-0.7316967161509372,-88.76098898775177,13.735638401597615,5.958326553584044,15.797826935769038,-30.744511468294824,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,e796cd8f-0cda-45f3-bbe4-718fc0e053b0,59.36969087678347,1.5152567091443336,1.412254594301401,6.162548440428203,-0.10266883094906672,54.82036393457591,3.07461717398229,0.822093665155122,-2.2889547419140497,-1.346425875784065,0.43027635184368174,-6.490370795656612,1.9272165968008825,-56.122906741315056,,701.6504474772734,-1045.0683356957081,55.741321983267724,-0.14299673808508703,-0.8302352090557034,0.5387591581971091,,,,,,,,,,,,,,,,,1.0,1,,,high,high,,,37.15793372876109,Caroline Patterson,,Georgia tech,2022-11
9,09/15/2024,1:00:51 PM,2,5,Kinsey Norton,nortoki10,,Georgia tech,Jayden Gailey,gaileja10,,Georgia tech,,1,Top,1,1,2,,,InPlay,,GroundBall,Out,1,0,,63.95523611801313,5.160676200159726,-1.7574427753439497,1019.7253714425224,352.26935800608885,5:45,1.4582285602000915,1.1043213606657754,5.999999999999997,-39.037590130125174,-8.699184445234238,1.3517626610310844,1.3765409480879889,0.5975235514228783,58.6346436548071,-6.892399750156417,-0.5441787757215241,0.39979578523426407,,,,,,,,,,,,-1.7645293087529454,-11.665400543009437,-1.2621598911642045,49.99999999999997,0.7621673310130593,1.6587497537544487,-95.15076044191846,12.602992950545302,-1.5752595511803265,18.167357042556304,-42.58817732678928,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,56c97623-11f4-4c3f-9228-67349f9dddac,63.9934944283871,1.451522997408796,1.1063581086954397,5.279586887824566,-1.7940776915273065,58.63871693109482,1.3818654152139362,0.5959972441465796,-6.7790053283461535,-0.5770084835933854,0.3997732170975242,1.5788826381974266,-10.193570742252914,-26.703186494547687,,910.9679857682657,-458.23265059235905,89.33463962749045,0.8852271297317514,-0.4493686863396707,-0.12016951578600801,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
10,09/15/2024,1:01:27 PM,3,1,Kinsey Norton,nortoki10,,Georgia tech,Reese Hunter,huntere10,,Georgia tech,,1,Top,2,0,0,,,StrikeCalled,,,,,,,59.55212141275781,5.45206202559685,-2.3352993264303237,1258.4462800867418,116.16072250461399,9:45,1.522934896126957,0.9816802874538018,6.142956454597712,-29.05365628489051,4.967888011956614,-5.771175750919275,2.8482145729105297,-0.7492836787933442,55.3473132967232,-2.0746473217998442,-3.834248889750933,0.4247622650315874,,,,,,,,,,,,6.136334959627195,3.933420837305131,-1.4567019334547526,49.999999999999986,-0.03909553275323741,2.824293104952413,-89.29254607622016,12.638750810091683,4.816124849292068,16.19720064536182,-29.086889911388727,Georgia Tech,Georgia Tech,,,,8a2cd80c-2ad5-4f28-ad40-b0a4462d1bce,47b34461-58a4-467f-94a4-47bbc373f3b6,59.65061810378824,1.5196515868189397,0.982204202938076,5.507759363768877,-2.344593097721452,55.42271828871573,2.8511027071730437,-0.7495650546722626,-2.0115919292467495,-3.840205648862509,0.4246522183909196,-5.712462835459878,3.631099232600557,-57.26489179261216,,680.5121884164338,-1058.5793315953388,54.07558504360851,-0.2384142033062917,-0.8411795945094878,0.48536126487666875,,,,,,,,,,,,,,,,,1.0,1,,,high,high,,,36.85704492140229,Caroline Patterson,,Georgia tech,2022-11
